epoch,loss,accuracy
1,1.9611763,0.42305452
2,1.0456765,0.6454847
3,0.82212627,0.71292317
4,0.6972938,0.7539356
5,0.6054495,0.78634924
6,0.5053017,0.8240556
7,0.39685902,0.8646818
8,0.32665074,0.8893878
9,0.2827346,0.90462226
10,0.25129357,0.91528434
11,0.2280081,0.9233092
12,0.21055846,0.92914504
13,0.19588181,0.9341896
14,0.18363795,0.9381681
15,0.17369483,0.9414019
16,0.1649018,0.9444065
17,0.15761836,0.946839
18,0.15096113,0.9489322
19,0.14490288,0.9511441
20,0.13992007,0.95269203
21,0.13467129,0.95440745
22,0.13083872,0.9556197
23,0.1265994,0.95704895
24,0.12279144,0.9582588
25,0.11966306,0.9591481
26,0.116461635,0.96038204
27,0.11372064,0.96116143
28,0.11102599,0.9621044
29,0.10861572,0.962753
30,0.10604706,0.96373177
31,0.10407982,0.9643243
32,0.10203502,0.96498746
33,0.09998851,0.9656777
34,0.09821669,0.9661396
35,0.09681611,0.9666689
36,0.09453877,0.9674394
37,0.09264193,0.9680507
38,0.09173506,0.9684064
39,0.08960057,0.969009
40,0.088688485,0.96932805
41,0.08712282,0.9699245
42,0.08613709,0.9701728
43,0.084701225,0.970582
44,0.08368126,0.97092897
45,0.08264411,0.97127247
46,0.08142263,0.9716139
47,0.080042325,0.97235525
48,0.079309806,0.9723815
49,0.077972725,0.9728842
50,0.077395886,0.9729449
51,0.076354526,0.97344726
52,0.075474195,0.97364515
53,0.07481963,0.9738213
54,0.07387446,0.9741962
55,0.0727696,0.97448933
56,0.07227226,0.9747115
57,0.070972875,0.97509575
58,0.07049386,0.97527397
59,0.06973703,0.9754047
60,0.06912943,0.9757753
61,0.06820584,0.9760252
62,0.06760544,0.976133
63,0.06681413,0.9764934
64,0.06613306,0.9766039
65,0.06559281,0.9769858
66,0.06517128,0.9770854
67,0.06444719,0.97724
68,0.0638468,0.97756875
69,0.06301963,0.97777146
70,0.06276975,0.977826
71,0.06230407,0.97803724
72,0.061414685,0.9781992
73,0.06088535,0.9784186
74,0.060389176,0.978525
75,0.059798766,0.9788054
76,0.059487615,0.97886014
77,0.059095412,0.9790528
78,0.05891351,0.97919554
79,0.057940803,0.9794648
80,0.057104904,0.9796095
81,0.056925945,0.9797631
82,0.056737516,0.9797489
83,0.056190338,0.979969
84,0.05581153,0.9800307
85,0.055214178,0.98042464
86,0.054961085,0.98039216
87,0.054560192,0.98055714
88,0.053794246,0.9808614
89,0.053380713,0.98101705
90,0.053458933,0.9808927
91,0.052373704,0.981246
92,0.05248799,0.9812099
93,0.0523309,0.9813733
94,0.051706366,0.9814817
95,0.051606387,0.98150676
96,0.05070826,0.98183036
97,0.050666228,0.98188907
98,0.04995848,0.98211634
99,0.049903244,0.9821351
100,0.049346548,0.9822939
101,0.049177445,0.98243845
102,0.04865024,0.98258555
103,0.04829653,0.98268205
104,0.04824912,0.98274755
105,0.047698393,0.98287797
106,0.04785773,0.9828341
107,0.047371686,0.98306704
108,0.04687923,0.9832064
109,0.046525437,0.98327756
110,0.04624465,0.98339677
111,0.04640334,0.9833425
112,0.045838557,0.9834851
113,0.045693535,0.983585
114,0.045290194,0.98371977
115,0.04506178,0.9838566
116,0.04484479,0.9837669
117,0.04422211,0.9840306
118,0.044027794,0.9841859
119,0.0438845,0.9841524
120,0.04359562,0.98436284
121,0.043327477,0.9844375
122,0.04302221,0.98449975
123,0.042664796,0.98461044
124,0.042427856,0.9846597
125,0.04245466,0.9847165
126,0.042241845,0.98474765
127,0.041820634,0.9849361
128,0.041899312,0.98485714
129,0.041559424,0.9850294
130,0.04115398,0.9851726
131,0.04102841,0.9851553
132,0.040744595,0.98527193
133,0.04050706,0.98539126
134,0.040305976,0.9854515
135,0.040059324,0.9855227
136,0.039859686,0.9856383
137,0.039453205,0.9857531
138,0.039384164,0.98578393
139,0.03929093,0.98589444
140,0.039002474,0.985975
141,0.038616955,0.9860931
142,0.038586415,0.98607576
143,0.038580462,0.9861681
144,0.03786566,0.98632014
145,0.037808165,0.9863474
146,0.037566956,0.9864021
147,0.037449703,0.9865263
148,0.037342217,0.98653626
149,0.03743869,0.9864601
150,0.036918387,0.9866327
151,0.03704714,0.98652476
152,0.036539897,0.9867293
153,0.03637632,0.98681206
154,0.036393344,0.98683167
155,0.035997935,0.9869252
156,0.03595824,0.98696226
157,0.03570556,0.98706526
158,0.035563327,0.9871063
159,0.035410736,0.98711956
160,0.035206076,0.9872136
161,0.035148155,0.98726076
162,0.034751687,0.9873568
163,0.034931514,0.9874363
164,0.034417104,0.9874673
165,0.03459279,0.98759335
166,0.034261703,0.9875865
167,0.034186043,0.98762685
168,0.033787917,0.987789
169,0.033832125,0.9878259
170,0.033480667,0.9879514
171,0.033664417,0.9877933
172,0.03332458,0.9879833
173,0.033120196,0.98801255
174,0.03320946,0.9879458
175,0.0329801,0.9880818
176,0.032648284,0.9881991
177,0.032534406,0.9881809
178,0.03242023,0.9882441
179,0.032378387,0.98833853
180,0.03232318,0.9882732
181,0.032231215,0.98822004
182,0.032004457,0.98847914
183,0.031661823,0.9886268
184,0.031695686,0.98850864
185,0.031362187,0.9886326
186,0.03136244,0.9886765
187,0.031162094,0.98865026
188,0.03101495,0.9887336
189,0.03079986,0.9889217
190,0.031030376,0.98883194
191,0.030572765,0.9888857
192,0.030794987,0.98881304
193,0.030496608,0.9889431
194,0.03049731,0.9889374
195,0.030294085,0.98907053
196,0.029908072,0.9891481
197,0.029982489,0.98917335
198,0.02983546,0.98919
199,0.029780122,0.98928195
200,0.029637951,0.9893331
