1,3.6945,0.1395
2,2.0632,0.3977
3,1.5073,0.5128
4,1.2373,0.5882
5,1.0745,0.6360
6,0.9671,0.6681
7,0.8872,0.6916
8,0.8209,0.7125
9,0.7644,0.7313
10,0.7163,0.7474
11,0.6756,0.7610
12,0.6410,0.7730
13,0.6099,0.7842
14,0.5780,0.7955
15,0.5439,0.8078
16,0.5094,0.8205
17,0.4749,0.8335
18,0.4444,0.8455
19,0.4060,0.8600
20,0.3703,0.8732
21,0.3402,0.8840
22,0.3164,0.8926
23,0.2945,0.9000
24,0.2777,0.9059
25,0.2569,0.9128
26,0.2391,0.9189
27,0.2283,0.9226
28,0.2177,0.9264
29,0.2054,0.9306
30,0.1963,0.9333
31,0.1890,0.9361
32,0.1800,0.9392
33,0.1735,0.9411
34,0.1655,0.9439
35,0.1602,0.9457
36,0.1548,0.9475
37,0.1498,0.9489
38,0.1457,0.9503
39,0.1422,0.9516
40,0.1364,0.9537
41,0.1348,0.9541
42,0.1313,0.9553
43,0.1270,0.9566
44,0.1240,0.9578
45,0.1208,0.9587
46,0.1188,0.9595
47,0.1175,0.9596
48,0.1139,0.9609
49,0.1127,0.9615
50,0.1108,0.9619
51,0.1074,0.9633
52,0.1069,0.9633
53,0.1048,0.9640
54,0.1026,0.9646
55,0.1002,0.9655
56,0.0997,0.9654
57,0.0978,0.9663
58,0.0971,0.9664
59,0.0956,0.9670
60,0.0933,0.9677
61,0.0925,0.9680
62,0.0917,0.9682
63,0.0904,0.9686
64,0.0891,0.9692
65,0.0864,0.9699
66,0.0865,0.9699
67,0.0861,0.9702
68,0.0849,0.9704
69,0.0832,0.9709
70,0.0824,0.9714
71,0.0812,0.9716
72,0.0801,0.9719
73,0.0798,0.9720
74,0.0780,0.9726
75,0.0781,0.9728
76,0.0776,0.9728
77,0.0755,0.9736
78,0.0754,0.9734
79,0.0742,0.9740
80,0.0740,0.9740
81,0.0729,0.9744
82,0.0720,0.9748
83,0.0702,0.9752
84,0.0704,0.9753
85,0.0695,0.9756
86,0.0696,0.9755
87,0.0684,0.9759
88,0.0683,0.9760
89,0.0675,0.9761
90,0.0668,0.9764
91,0.0662,0.9765
92,0.0656,0.9768
93,0.0646,0.9771
94,0.0646,0.9771
95,0.0631,0.9776
96,0.0636,0.9775
97,0.0629,0.9777
98,0.0626,0.9779
99,0.0620,0.9778
100,0.0610,0.9783
