epoch,loss,accuracy
1,2.9109178,0.24007657
2,1.8469265,0.4387775
3,1.4137139,0.5386119
4,1.170803,0.6084133
5,1.0241098,0.6523169
6,0.9303643,0.6801349
7,0.8550635,0.7029342
8,0.7937731,0.7219497
9,0.7426567,0.73856425
10,0.69914013,0.75281084
11,0.66258764,0.76562047
12,0.6286906,0.77729553
13,0.5971675,0.7887087
14,0.5654406,0.7998953
15,0.5350562,0.8111092
16,0.4983515,0.82527155
17,0.45802364,0.84029007
18,0.42316693,0.8539366
19,0.38969195,0.8664752
20,0.35583395,0.87881565
21,0.3303929,0.88797146
22,0.3099503,0.89499694
23,0.28770208,0.90269357
24,0.26918757,0.9090774
25,0.2527661,0.9144886
26,0.23830414,0.9194321
27,0.22649355,0.92356867
28,0.21367885,0.9278417
29,0.20489715,0.9306262
30,0.1954557,0.9337463
31,0.18614173,0.9370317
32,0.17873451,0.93968827
33,0.17287692,0.9413769
34,0.16645458,0.9437282
35,0.16049808,0.9455577
36,0.15613282,0.94700795
37,0.15169458,0.94856054
38,0.14590134,0.95042574
39,0.14363778,0.95124876
40,0.13875307,0.9527941
41,0.13584964,0.95371807
42,0.13700956,0.95352346
43,0.12664294,0.9567302
44,0.12588207,0.95718175
45,0.12384669,0.95770854
46,0.12209138,0.9582504
47,0.11815989,0.95947534
48,0.115980126,0.96029544
49,0.114226654,0.9608409
50,0.112049155,0.96157664
51,0.11022472,0.96211207
52,0.107926756,0.96289814
53,0.10639354,0.9633
54,0.104776315,0.9638056
55,0.102632284,0.9646898
56,0.100935355,0.9651369
57,0.09981033,0.96561366
58,0.09810198,0.9661059
59,0.09683415,0.96655804
60,0.0953541,0.96695304
61,0.093966596,0.96745145
62,0.09301795,0.96774644
63,0.091476634,0.9682449
64,0.09062301,0.96850735
65,0.088618554,0.96926713
66,0.08812603,0.9693587
67,0.08675443,0.9698582
68,0.08559748,0.9702029
69,0.08500958,0.97035766
70,0.08341692,0.97095555
71,0.083205,0.9710091
72,0.08159925,0.9714578
73,0.081099644,0.9716197
74,0.080464825,0.97196627
75,0.079452075,0.97213745
76,0.077720106,0.97288066
77,0.07768185,0.9727486
78,0.07673179,0.9731534
79,0.07576401,0.97345483
80,0.07519825,0.97358286
81,0.07437342,0.97381854
82,0.073453076,0.974122
83,0.07237152,0.9745223
84,0.07206762,0.9746088
85,0.07181588,0.9747706
86,0.0708946,0.97510177
87,0.07018072,0.975179
88,0.069507234,0.9754591
89,0.06844507,0.97571594
90,0.06840271,0.9757854
91,0.06782384,0.9760378
92,0.066994004,0.97627264
93,0.06662281,0.9763876
94,0.06571457,0.9767916
95,0.06565649,0.9768509
96,0.06459988,0.97711766
97,0.06421999,0.977139
98,0.06349541,0.97744507
99,0.06349989,0.9774462
100,0.06226231,0.9778702
101,0.062171068,0.97796726
102,0.061048284,0.97839695
103,0.06144262,0.9781067
104,0.06048227,0.97847193
105,0.060039505,0.9785569
106,0.059363075,0.9788176
107,0.059402898,0.97878575
108,0.058732893,0.9790506
109,0.058214203,0.979194
110,0.05804939,0.97937167
111,0.057158127,0.979651
112,0.057149466,0.9795936
113,0.056321282,0.9799148
114,0.05595656,0.9800523
115,0.055441618,0.98022044
116,0.054960087,0.9803921
117,0.055034705,0.9803411
118,0.054489903,0.98045826
119,0.05412676,0.98061395
120,0.053820584,0.98070174
121,0.05329697,0.98086137
122,0.05308369,0.98106176
123,0.053061094,0.9810241
124,0.051821284,0.98139167
125,0.051698722,0.9814678
126,0.051533278,0.9814636
127,0.051248506,0.9816041
128,0.051053073,0.98177534
129,0.050606105,0.98183906
130,0.05004567,0.98195636
131,0.049629368,0.9821964
132,0.04991471,0.982151
133,0.049345866,0.98229456
134,0.048987836,0.98240566
135,0.04835174,0.982546
136,0.04836678,0.9826039
137,0.048047937,0.98267925
138,0.04760714,0.982786
139,0.047136575,0.9829795
140,0.047153838,0.9830196
141,0.047029532,0.98306334
142,0.046491325,0.9832276
143,0.046412043,0.9832705
144,0.045485523,0.9835716
145,0.045704715,0.9834841
146,0.04522032,0.98374337
147,0.04532589,0.98363936
148,0.044833574,0.9838543
149,0.044244945,0.98404515
150,0.044684503,0.9838631
151,0.043991197,0.9841567
152,0.043857,0.9842142
153,0.043420758,0.98430836
154,0.04316573,0.9843782
155,0.0432722,0.984421
156,0.04297465,0.98449975
157,0.042241838,0.98477304
158,0.04240734,0.9846576
159,0.041968204,0.9848488
160,0.04162868,0.98502356
161,0.041596245,0.9849695
162,0.041600388,0.98499405
163,0.04112677,0.9852333
164,0.04099883,0.9851854
165,0.04053639,0.9853284
166,0.04044344,0.9853627
167,0.039854024,0.98561585
168,0.040030707,0.9855028
169,0.03975828,0.9856706
170,0.03956565,0.9857355
171,0.03915673,0.985843
172,0.039137706,0.98586
173,0.03892455,0.9859193
174,0.03837871,0.9861689
175,0.03864255,0.9860608
176,0.038096756,0.98622733
177,0.038368978,0.9860994
178,0.037996963,0.9861908
179,0.03749789,0.98642755
180,0.03744776,0.9864263
181,0.03776933,0.9863896
182,0.037379332,0.98653454
183,0.036959216,0.9866314
184,0.036633443,0.98675156
185,0.036526963,0.9867818
186,0.036374584,0.9868294
187,0.036205795,0.986869
188,0.035906505,0.98704207
189,0.03582481,0.98705715
190,0.035843175,0.98698467
191,0.035378035,0.9871423
192,0.035429213,0.9872926
193,0.034969483,0.9874
194,0.035098728,0.9872941
195,0.03487546,0.987402
196,0.034520835,0.9874529
197,0.03469839,0.98741955
198,0.03419841,0.9876012
199,0.034431655,0.98747647
200,0.033835895,0.9877093
