epoch,loss,accuracy
1,1.7238175,0.4913096
2,1.1340293,0.6160813
3,0.9637131,0.6659421
4,0.8049258,0.7176263
5,0.7059891,0.7511137
6,0.642117,0.77296036
7,0.596202,0.78849304
8,0.5615977,0.8001024
9,0.5342742,0.80917877
10,0.5113735,0.8168756
11,0.49312377,0.82287854
12,0.47765943,0.82798636
13,0.46504107,0.8320887
14,0.45379066,0.835798
15,0.44393358,0.83910024
16,0.43501508,0.84191084
17,0.42766747,0.8443699
18,0.4207153,0.84663147
19,0.41457352,0.848679
20,0.40913412,0.8504598
21,0.4040886,0.85203826
22,0.39919513,0.8535939
23,0.39487928,0.85494214
24,0.39081058,0.8563397
25,0.38685834,0.8575949
26,0.38354442,0.8587169
27,0.38025945,0.8598005
28,0.3772552,0.86069846
29,0.3740483,0.8617031
30,0.37125677,0.8626488
31,0.36891446,0.8633704
32,0.36644498,0.86416155
33,0.36408758,0.8650136
34,0.36146754,0.8658398
35,0.35972866,0.8663636
36,0.35773066,0.8670966
37,0.355729,0.86767167
38,0.35407233,0.86815
39,0.35198292,0.8688376
40,0.35047075,0.8693019
41,0.34854066,0.8700119
42,0.3471261,0.87044567
43,0.34557468,0.8709663
44,0.3443819,0.8713528
45,0.34286994,0.871769
46,0.3413198,0.8722653
47,0.3400123,0.8727224
48,0.3386817,0.8731364
49,0.33768028,0.87348497
50,0.33665606,0.8737545
51,0.3352491,0.8742596
52,0.33404648,0.87455016
53,0.33302474,0.8749209
54,0.33210757,0.87523407
55,0.33088103,0.8756569
56,0.32991284,0.8760425
57,0.3288518,0.87632287
58,0.32807755,0.87659293
59,0.3271671,0.87688863
60,0.32637733,0.8770632
61,0.32529497,0.87749296
62,0.32470906,0.8776521
63,0.3237621,0.8779412
64,0.3229586,0.87819815
65,0.32213596,0.8784834
66,0.32135078,0.8787141
67,0.32054016,0.87889826
68,0.3196405,0.87929994
69,0.31905532,0.8794178
70,0.3183822,0.8796539
71,0.31775013,0.87986344
72,0.31687433,0.88010705
73,0.31621885,0.8803211
74,0.31579617,0.88051754
75,0.3150854,0.8807414
76,0.31438366,0.88087434
77,0.31381723,0.8811831
78,0.31322518,0.8813125
79,0.31246343,0.8815262
80,0.31216696,0.8816269
81,0.31157556,0.8818082
82,0.3107613,0.88206476
83,0.310439,0.8822171
84,0.30982873,0.88238585
85,0.30915087,0.8826086
86,0.3087803,0.8827286
87,0.30817977,0.8829955
88,0.30784872,0.88301575
89,0.30726844,0.8832212
90,0.3068083,0.8833328
91,0.3063475,0.88357043
92,0.30590284,0.88358057
93,0.30542603,0.8838156
94,0.30493167,0.88387793
95,0.304404,0.8840855
96,0.30425003,0.88417006
97,0.3034548,0.88442177
98,0.30318806,0.8845095
99,0.3026182,0.8847229
100,0.3025029,0.88463163
101,0.30199686,0.8849232
102,0.30164605,0.8849875
103,0.30119833,0.8850903
104,0.30088747,0.8852722
105,0.3004682,0.8853518
106,0.30007946,0.8854999
107,0.2996222,0.8856139
108,0.29934362,0.88582534
109,0.29893112,0.8859623
110,0.29858854,0.88599026
111,0.29821497,0.8860221
112,0.2977285,0.8862832
113,0.29742098,0.8863394
114,0.29734784,0.88640374
115,0.29701996,0.88650084
116,0.29643628,0.88671845
117,0.2963214,0.88670254
118,0.29581362,0.88685423
119,0.29545403,0.8869666
120,0.2951351,0.887037
121,0.29476804,0.8871908
122,0.29450673,0.8872457
123,0.29420376,0.8873603
124,0.29403403,0.8874258
125,0.29394153,0.88741523
126,0.29341197,0.8876578
127,0.29329652,0.88765997
128,0.29269594,0.8878255
129,0.29245108,0.88794076
130,0.2921765,0.8880789
131,0.29200974,0.8880219
132,0.29173145,0.88811004
133,0.29158396,0.88816833
134,0.29114762,0.88842607
135,0.29084167,0.8884424
136,0.2907229,0.88844645
137,0.29038787,0.8885722
138,0.29011342,0.8886491
139,0.28976712,0.88874125
140,0.28968918,0.88882905
141,0.2894991,0.88889855
142,0.28894117,0.88908947
143,0.28877568,0.88911533
144,0.28879043,0.88908005
145,0.28838938,0.88922125
146,0.2881259,0.8893443
147,0.28777948,0.8893826
148,0.2877282,0.8894073
149,0.28745353,0.88962865
150,0.2873012,0.8896199
151,0.28707278,0.88969564
152,0.2867784,0.8897756
153,0.28643563,0.8898624
154,0.2861877,0.8900456
155,0.28606775,0.8900196
156,0.28597033,0.89005595
157,0.28569293,0.89006776
158,0.28535888,0.89028484
159,0.28507182,0.89029825
160,0.28497362,0.890216
161,0.2846686,0.8903995
162,0.28458896,0.89043075
163,0.2845457,0.8905031
164,0.2841581,0.8905408
165,0.28405854,0.8905201
166,0.2837113,0.8907877
167,0.28363615,0.89074355
168,0.2832677,0.8909139
169,0.28307614,0.8909345
170,0.28295928,0.89102215
171,0.28277373,0.8909913
172,0.28252903,0.89105356
173,0.282424,0.8911664
174,0.28237838,0.89119685
175,0.2819813,0.891275
176,0.2818659,0.8912906
177,0.28170455,0.8913235
178,0.2815109,0.8914068
179,0.28127372,0.89147496
180,0.2811967,0.8915343
181,0.28098014,0.89156914
182,0.2808833,0.8917092
183,0.2806831,0.8916459
184,0.2804351,0.8917578
185,0.28014848,0.8918614
186,0.28017056,0.8918162
187,0.28001428,0.891906
188,0.2796924,0.8920725
189,0.27972174,0.8920139
190,0.27946427,0.89207053
191,0.27922025,0.8921118
192,0.27919123,0.8921569
193,0.27898562,0.89226145
194,0.27874833,0.89231193
195,0.27870736,0.89230096
196,0.27840087,0.8924449
197,0.27816546,0.8925667
198,0.27806982,0.8925026
199,0.27800333,0.8926145
200,0.27790403,0.89258724
